From	To
P00480	OTC
P23458	JAK1
Q92953	KCNB2
O60488	ACSL4
O14649	KCNK3
P15391	CD19
P06493	CDK1
Q9BVA1	TUBB2B
Q9UP95	SLC12A4
P16066	NPR1
Q7Z2Z2	EFL1
Q8IWL2	SFTPA1
P51955	NEK2
Q13231	CHIT1
P07510	CHRNG
P50613	CDK7
P14598	NCF1
Q9UKU7	ACAD8
P23919	DTYMK
P09104	ENO2
P04179	SOD2
Q08257	CRYZ
O14788	TNFSF11
Q16651	PRSS8
P19652	ORM2
Q9P0X4	CACNA1I
P48449	LSS
Q8TCC7	SLC22A8
O43293	DAPK3
Q13315	ATM
Q99808	SLC29A1
Q9UGM6	WARS2
P32929	CTH
Q53H96	PYCR3
P26358	DNMT1
O75676	RPS6KA4
P18405	SRD5A1
P50897	PPT1
P39905	GDNF
P46976	GYG1
Q9UNN8	PROCR
Q9NPH2	ISYNA1
P54577	YARS1
Q6IB77	GLYAT
P40261	NNMT
P30874	SSTR2
P29597	TYK2
P34897	SHMT2
Q9BZW2	SLC13A1
Q96GD4	AURKB
P10114	RAP2A
P31040	SDHA
Q969I3	GLYATL1
Q16774	GUK1
P07602	PSAP
Q07837	SLC3A1
P22607	FGFR3
P05062	ALDOB
P29803	PDHA2
O95139	NDUFB6
Q05901	CHRNB3
Q9Y345	SLC6A5
Q92793	CREBBP
Q9UKL6	PCTP
Q9UJS0	SLC25A13
P48167	GLRB
Q96C24	SYTL4
P41439	FOLR3
P32119	PRDX2
P00167	CYB5A
Q9Y251	HPSE
P62750	RPL23A
P35498	SCN1A
P14060	HSD3B1
P21281	ATP6V1B2
P45983	MAPK8
P63000	RAC1
P61769	B2M
P08183	ABCB1
P25098	GRK2
P54802	NAGLU
P20061	TCN1
P49585	PCYT1A
P01920	HLA-DQB1
O14920	IKBKB
P20648	ATP4A
P28908	TNFRSF8
Q9Y698	CACNG2
P00751	CFB
P00966	ASS1
P16930	FAH
P10827	THRA
P05452	CLEC3B
P07737	PFN1
P43007	SLC1A4
P13639	EEF2
Q15166	PON3
P04070	PROC
P19099	CYP11B2
Q9Y3I0	RTCB
P10153	RNASE2
P56696	KCNQ4
Q9Y6L7	TLL2
Q9UJT0	TUBE1
O43923	MMP25
